feature,importance
membrane_permeability_proxy,0.34893882415618743
large_cell_fraction,0.20718834386491328
small_cell_fraction,0.07803381532381434
cell_area_std,0.07054021969937832
total_intensity,0.04107663744142835
chromatin_condensation_proxy,0.038896423139523656
mean_intensity,0.035885946229811526
intensity_variance,0.03571658070066429
medium_cell_fraction,0.02337387191752727
cell_area_mean,0.02214140501361489
cell_count,0.020868427024671933
area_covered_ratio,0.019291146497804952
density_cells_per_10k_px,0.017203015174037384
cell_shrinkage_ratio,0.016811970608420955
nuclear_fragmentation_index,0.015058565026820944
cell_swelling_index,0.006039279228514658
cell_area_median,0.002935528952865817
membrane_blebbing_score,0.0
