feature,importance
membrane_permeability_proxy,0.3448865807104117
large_cell_fraction,0.19327831254644268
small_cell_fraction,0.07400559844112944
cell_area_std,0.0685340257129361
total_intensity,0.04086623106675484
mean_intensity,0.03772315047764333
chromatin_condensation_proxy,0.03709051087856337
intensity_variance,0.03477268015063302
medium_cell_fraction,0.02708850363098996
cell_area_mean,0.025194019538655583
cell_count,0.02306138768854828
density_cells_per_10k_px,0.02169981502694151
area_covered_ratio,0.021500983392712458
cell_shrinkage_ratio,0.020903488976252934
nuclear_fragmentation_index,0.017530261234842175
cell_swelling_index,0.008243321136760056
cell_area_median,0.003621129389782532
membrane_blebbing_score,0.0
