feature,importance
membrane_permeability_proxy,0.3464600853497415
large_cell_fraction,0.19554982316299102
small_cell_fraction,0.07505357736815373
cell_area_std,0.06840384475316855
total_intensity,0.0402113576363828
mean_intensity,0.03770344434730785
chromatin_condensation_proxy,0.036828619379728804
intensity_variance,0.035069188309907864
medium_cell_fraction,0.02677905614161591
cell_area_mean,0.02399589041618553
cell_count,0.02210739281287881
density_cells_per_10k_px,0.021250270676882288
area_covered_ratio,0.021022555207855207
cell_shrinkage_ratio,0.020000510507736297
nuclear_fragmentation_index,0.018138652136123395
cell_swelling_index,0.007990546821055034
cell_area_median,0.003435184972285353
membrane_blebbing_score,0.0
